ticker,fundamentals_score,trading_signal,confidence,sector,industry,market_cap,current_price,return_on_equity,return_on_assets,return_on_invested_capital,net_profit_margin,debt_to_equity,current_ratio,revenue_growth,earnings_growth,fcf_yield,earnings_quality,pe_ratio,pb_ratio,beta,individual_scores,data_completeness,success
NVDA,82.6,BUY,HIGH,Technology,Semiconductors,1000000000.0,173.5,115.46300000000001,53.244996,92.37040000000002,51.693999999999996,0.12267,3.388,69.19999999999999,26.700000000000003,5.0,1.0,55.787785,50.46539,2.131,"{'return_on_equity_score': 100, 'return_on_assets_score': 100, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 100, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
HOOD,80.6,BUY,HIGH,Financial Services,Capital Markets,1000000000.0,104.85,21.430999,4.32,17.1447992,48.772999999999996,1.18056,1.209,50.0,106.3,5.0,0.6968553459119496,59.914284,11.661661,2.366,"{'return_on_equity_score': 100, 'return_on_assets_score': 100, 'return_on_invested_capital_score': 80, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 100, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
GOOGL,80.6,BUY,HIGH,Communication Services,Internet Content & Information,1000000000.0,193.18,34.829,16.792,27.863200000000003,31.118000000000002,0.11481,1.904,13.8,22.3,5.0,1.0,20.572948,6.442984,1.005,"{'return_on_equity_score': 100, 'return_on_assets_score': 100, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 80, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
META,80.6,BUY,HIGH,Communication Services,Internet Content & Information,1000000000.0,712.68,39.835,17.879998999999998,31.868000000000002,39.113998,0.26763000000000003,2.662,16.1,36.5,5.0,1.0,27.849941,9.717878,1.284,"{'return_on_equity_score': 100, 'return_on_assets_score': 100, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 80, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
GOOG,80.6,BUY,HIGH,Communication Services,Internet Content & Information,1000000000.0,194.08,34.829,16.792,27.863200000000003,31.118000000000002,0.11481,1.904,13.8,22.3,5.0,1.0,20.712914,6.4730015,1.005,"{'return_on_equity_score': 100, 'return_on_assets_score': 100, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 80, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
MPWR,77.8,BUY,MEDIUM,Technology,Semiconductors,1000000000.0,714.68,67.946,11.995000000000001,54.3568,76.587,0.005430000000000001,4.921,39.2,47.599999999999994,44.383174399999994,0.43586859866062677,19.047974,10.473343,1.202,"{'return_on_equity_score': 100, 'return_on_assets_score': 40, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 100, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
NFLX,77.4,BUY,MEDIUM,Communication Services,Entertainment,1000000000.0,1180.49,43.547999999999995,15.049000000000001,34.8384,24.579,0.67866,1.341,15.9,47.3,5.0,1.0,50.255,20.10337,1.596,"{'return_on_equity_score': 100, 'return_on_assets_score': 100, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 60, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 80, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
ASML,75.8,BUY,MEDIUM,Technology,Semiconductor Equipment & Materials,1000000000.0,711.25,58.245000000000005,16.354999,46.596000000000004,29.273,0.20995,1.435,23.200000000000003,47.099999999999994,855.5400192000001,1.0,25.123632,15.63943,1.219,"{'return_on_equity_score': 100, 'return_on_assets_score': 80, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 80, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 80, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
TSM,75.8,BUY,MEDIUM,Technology,Semiconductors,1000000000.0,245.6,34.557998,15.956999999999999,27.6463984,42.918998,0.20421,2.37,38.6,60.699999999999996,5.0,1.0,28.82629,1.3900996,1.341,"{'return_on_equity_score': 80, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 80, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 100, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
FAST,75.0,BUY,MEDIUM,Industrials,Industrial Distribution,1000000000.0,47.75,32.564998,20.308999999999997,26.051998400000002,15.295,0.14319,4.22,8.6,15.1,65.70499840000001,0.9423092572921569,45.913464,14.391199,0.958,"{'return_on_equity_score': 100, 'return_on_assets_score': 100, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 60, 'earnings_growth_score': 80, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
