ticker,valuation_score,trading_signal,confidence,sector,industry,market_cap,current_price,pe_ratio,pb_ratio,ps_ratio,peg_ratio,ev_ebitda,ev_sales,dividend_yield,fcf_yield,earnings_yield,position_52w,upside_to_target,graham_number,graham_discount,beta,individual_scores,data_completeness,success
ELV,90.2,STRONG_BUY,HIGH,Healthcare,Healthcare Plans,65098960896.0,289.1,12.270799,1.4866657,0.34397668,1.5,6.39,0.32,237.0,18.507207848136773,8.149428574292514,5.019463224749042,32.53775856105152,321.06744805414326,11.05757456040928,0.612,"{'pe_ratio_score': 80, 'forward_pe_score': 80, 'pb_ratio_score': 80, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 100, 'dividend_yield_score': 100, 'fcf_yield_score': 100, 'earnings_yield_score': 100}",100.0,True
CNC,89.2,STRONG_BUY,HIGH,Healthcare,Healthcare Plans,13943265280.0,28.39,6.8907766,0.50876313,0.08235152,1.5,3.585,0.085,0.0,7.898974550672825,14.512152374813603,3.9381670960618336,66.65199013737231,71.92249578539388,153.33742791614608,1.0,"{'pe_ratio_score': 100, 'forward_pe_score': 100, 'pb_ratio_score': 100, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 60, 'dividend_yield_score': 20, 'fcf_yield_score': 100, 'earnings_yield_score': 100}",100.0,True
BIIB,88.2,STRONG_BUY,HIGH,Healthcare,Drug Manufacturers - General,19271362560.0,131.52,13.008903,1.1348106,1.9631803,1.5,7.561,2.373,0.0,17.789154603503032,7.687043250303273,19.634369287020114,28.37997262773721,162.36823149865248,23.45516385238174,0.141,"{'pe_ratio_score': 80, 'forward_pe_score': 100, 'pb_ratio_score': 80, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 100, 'dividend_yield_score': 20, 'fcf_yield_score': 100, 'earnings_yield_score': 100}",100.0,True
CMCSA,84.6,BUY,HIGH,Communication Services,Telecom Services,125751017472.0,33.68,8.295567,1.4555513,1.0177324,1.5,5.669,1.756,392.0,7.917630155332092,12.054631105987088,16.149963950973312,18.731858669833723,45.97551141640515,36.506862875312194,0.947,"{'pe_ratio_score': 80, 'forward_pe_score': 100, 'pb_ratio_score': 80, 'ps_ratio_score': 80, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 100, 'fcf_yield_score': 100, 'earnings_yield_score': 100}",100.0,True
CVS,83.8,BUY,HIGH,Healthcare,Healthcare Plans,76786720768.0,60.7,14.486874,0.9957676,0.20381832,1.5,10.434,0.386,438.0,8.50521394152525,6.902800424715505,59.2055267702936,30.816853377265225,75.80775323144725,24.889214549336486,0.576,"{'pe_ratio_score': 80, 'forward_pe_score': 80, 'pb_ratio_score': 100, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 80, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 100, 'fcf_yield_score': 100, 'earnings_yield_score': 100}",100.0,True
CI,80.8,BUY,HIGH,Healthcare,Healthcare Plans,79173173248.0,296.37,16.52928,1.9885266,0.31003562,1.5,8.783,0.395,204.0,9.576634035180007,6.049870290780966,31.56250000000003,26.50256436211493,245.2069778778736,-17.263225738815127,0.454,"{'pe_ratio_score': 60, 'forward_pe_score': 80, 'pb_ratio_score': 80, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 80, 'ev_sales_score': 100, 'ev_fcf_score': 60, 'dividend_yield_score': 100, 'fcf_yield_score': 100, 'earnings_yield_score': 100}",100.0,True
CRON,79.4,BUY,MEDIUM,Healthcare,Drug Manufacturers - Specialty & Generic,791021184.0,2.05,14.642857,0.7408746,6.3490453,1.5,-0.071,0.02,0.0,5.0,6.8292683593099355,49.944506104328504,10.000000000000005,2.9522957168955823,44.014425214418665,1.509,"{'pe_ratio_score': 80, 'forward_pe_score': 100, 'pb_ratio_score': 100, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 100}",100.0,True
CGC,78.2,BUY,MEDIUM,Healthcare,Drug Manufacturers - Specialty & Generic,243733120.0,1.14,20.0,0.43018866,0.9060879,1.5,-20.111,1.591,0.0,5.0,5.0,5.0894085281980725,234.63831578947367,1.14,0.0,2.124,"{'pe_ratio_score': 60, 'forward_pe_score': 100, 'pb_ratio_score': 100, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
CLOV,77.8,BUY,MEDIUM,Healthcare,Healthcare Plans,1544563072.0,3.035,20.0,4.5776772,1.0390322,1.5,-60.441,0.931,0.0,8.17780628643697,5.0,45.54896142433235,54.4481054365733,3.035,0.0,1.87,"{'pe_ratio_score': 60, 'forward_pe_score': 100, 'pb_ratio_score': 40, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 80, 'dividend_yield_score': 20, 'fcf_yield_score': 100, 'earnings_yield_score': 80}",100.0,True
ACB,75.8,BUY,MEDIUM,Healthcare,Drug Manufacturers - Specialty & Generic,273340960.0,4.84,22.0,0.4798731,0.7962323,1.5,9.123,0.815,0.0,5.0,4.545454545454546,37.53308628904181,10.0,7.065812055241776,45.98785238102843,3.267,"{'pe_ratio_score': 60, 'forward_pe_score': 100, 'pb_ratio_score': 100, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 80, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
CTSH,75.2,BUY,MEDIUM,Technology,Information Technology Services,37793861632.0,76.67,16.141052,2.5369775,1.8811338,1.5,10.287,1.841,162.0,5.2561444695506685,6.195383051860561,44.07114624505932,15.08490935176732,56.83193974342245,-25.87460578658869,0.952,"{'pe_ratio_score': 60, 'forward_pe_score': 60, 'pb_ratio_score': 80, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 80, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 100, 'fcf_yield_score': 80, 'earnings_yield_score': 100}",100.0,True
CAN,75.0,BUY,MEDIUM,Technology,Computer Hardware,366585440.0,0.7963,20.0,1.2422777,1.1563882,1.5,-32.023,17.19,0.0,5.0,5.0,9.553930530164534,234.88258194147932,0.7963,0.0,3.294,"{'pe_ratio_score': 60, 'forward_pe_score': 100, 'pb_ratio_score': 100, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 60, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
FDX,74.4,BUY,MEDIUM,Industrials,Integrated Freight & Logistics,57370636288.0,243.2,14.467579,2.0617507,0.65248775,1.5,15.0,4.0,238.0,6.091095239832526,6.912006493968341,42.80836907992646,9.539473684210522,211.22183729434795,-13.148915586205609,1.356,"{'pe_ratio_score': 60, 'forward_pe_score': 80, 'pb_ratio_score': 60, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 60, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 100, 'fcf_yield_score': 100, 'earnings_yield_score': 100}",100.0,True
BLUE,74.2,BUY,MEDIUM,Healthcare,Biotechnology,48668524.0,4.97,20.0,2.5,0.46820968,1.5,-1.253,1.798,0.0,5.0,5.0,6.968503937007872,60.96579476861168,4.97,0.0,0.365,"{'pe_ratio_score': 60, 'forward_pe_score': 100, 'pb_ratio_score': 60, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
BLNK,71.6,BUY,MEDIUM,Industrials,Engineering & Construction,115043040.0,1.12,20.0,1.1211212,1.0517452,1.5,-1.498,0.762,0.0,5.0,5.0,16.955017301038065,93.45267857142854,1.12,0.0,3.227,"{'pe_ratio_score': 40, 'forward_pe_score': 100, 'pb_ratio_score': 80, 'ps_ratio_score': 80, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
CHPT,71.2,BUY,MEDIUM,Consumer Cyclical,Specialty Retail,285222848.0,0.6106,20.0,2.3758755,0.69962263,1.5,-2.052,1.013,0.0,5.0,5.0,5.715909090909093,87.59416966917786,0.6106,0.0,2.227,"{'pe_ratio_score': 40, 'forward_pe_score': 100, 'pb_ratio_score': 60, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
BILL,70.6,BUY,MEDIUM,Technology,Software - Application,4730999808.0,45.92,20.0,1.2185867,3.3249347,1.5,-7089.684,3.044,0.0,4.471618359448472,5.0,14.723444374607173,30.479878048780478,45.92,0.0,1.355,"{'pe_ratio_score': 60, 'forward_pe_score': 40, 'pb_ratio_score': 100, 'ps_ratio_score': 80, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
EVGO,70.4,BUY,MEDIUM,Consumer Cyclical,Specialty Retail,1105084800.0,3.6,20.0,-13.138686,3.9901388,1.5,-14.954,3.471,0.0,5.0,5.0,20.436363636363637,66.66666666666666,3.6,0.0,2.346,"{'pe_ratio_score': 40, 'forward_pe_score': 100, 'pb_ratio_score': 100, 'ps_ratio_score': 40, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
CRUS,70.2,BUY,MEDIUM,Technology,Semiconductors,5189858816.0,101.17,16.861666,2.7137148,2.7371562,1.5,10.328,2.513,0.0,5.8879659511724185,5.930612075936032,35.376239006003075,21.907017890679057,70.94318149054213,-29.877254630283552,0.945,"{'pe_ratio_score': 60, 'forward_pe_score': 60, 'pb_ratio_score': 80, 'ps_ratio_score': 80, 'peg_ratio_score': 60, 'ev_ebitda_score': 80, 'ev_sales_score': 100, 'ev_fcf_score': 60, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
BIGC,69.8,HOLD,LOW,Technology,Software - Application,414108224.0,5.17,20.0,10.79332,1.2363765,1.5,-106.107,1.374,0.0,11.31452438867768,5.0,12.071330589849095,46.14235976789168,5.17,0.0,1.157,"{'pe_ratio_score': 60, 'forward_pe_score': 40, 'pb_ratio_score': 20, 'ps_ratio_score': 100, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 100, 'ev_fcf_score': 80, 'dividend_yield_score': 20, 'fcf_yield_score': 100, 'earnings_yield_score': 80}",100.0,True
